City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Tasiilaq,GL,65.6145,-37.6368,33.96,93,100,5.88,overcast clouds
131,Jamestown,US,42.097,-79.2353,38.79,96,100,10.36,overcast clouds
132,Linxia,CN,35.6003,103.2064,56.82,61,98,4.09,overcast clouds
133,Bredasdorp,ZA,-34.5322,20.0403,67.73,57,1,14.76,clear sky
134,Piterka,RU,50.6803,47.4454,54.21,54,100,0.11,overcast clouds
135,Clyde River,CA,70.4692,-68.5914,21.43,93,100,9.22,light snow
136,Shache,CN,38.4167,77.2406,68.13,18,88,4.65,overcast clouds
137,Luwuk,ID,-0.9516,122.7875,86.95,65,100,3.65,overcast clouds
138,Am Timan,TD,11.0297,20.2827,84.09,40,100,1.68,overcast clouds
139,Keetmanshoop,NA,-26.5833,18.1333,76.53,37,3,1.45,clear sky
140,Sayyan,YE,15.1718,44.3244,63.14,18,3,6.58,clear sky
141,Raudeberg,NO,61.9875,5.1352,34.47,69,100,6.51,overcast clouds
142,Esperance,AU,-33.8667,121.9,65.61,71,100,18.5,overcast clouds
143,Gravdal,NO,68.1214,13.5031,37.29,93,75,0.0,broken clouds
144,Caico,BR,-6.4583,-37.0978,73.54,72,100,14.54,overcast clouds
145,Quatre Cocos,MU,-20.2078,57.7625,77.11,60,40,11.1,scattered clouds
146,Talara,PE,-4.5772,-81.2719,64.09,77,100,16.44,overcast clouds
147,Maceio,BR,-9.6658,-35.7353,71.04,94,20,4.61,few clouds
148,Amberieu-En-Bugey,FR,45.9589,5.3432,66.18,91,100,4.38,light rain
149,Norman Wells,CA,65.282,-126.8329,30.24,93,100,6.91,overcast clouds
150,Plettenberg Bay,ZA,-34.0527,23.3716,66.96,65,7,12.91,clear sky
151,Arcachon,FR,44.5875,-1.0519,61.12,94,0,0.0,clear sky
152,San Cristobal,VE,7.7669,-72.225,65.82,98,100,1.07,overcast clouds
153,Ulladulla,AU,-35.35,150.4667,65.3,91,100,4.34,light rain
154,Xam Nua,LA,20.4197,104.0439,59.0,98,100,1.57,overcast clouds
155,Port Hedland,AU,-20.3167,118.5667,89.65,37,0,16.11,clear sky
156,Bethel,US,41.3712,-73.414,46.71,75,0,4.61,clear sky
157,Pala,TD,9.3642,14.9046,77.97,72,97,2.75,overcast clouds
158,Port Elizabeth,ZA,-33.918,25.5701,70.11,80,20,28.77,few clouds
159,Skibbereen,IE,51.55,-9.2667,59.11,94,92,17.94,overcast clouds
160,Makakilo City,US,21.3469,-158.0858,70.12,92,100,8.05,light rain
161,Pisco,PE,-13.7,-76.2167,55.45,88,24,0.0,few clouds
162,Tiksi,RU,71.6872,128.8694,13.84,88,20,15.57,few clouds
163,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.83,78,73,10.07,broken clouds
164,Kimbe,PG,-5.5502,150.1429,83.1,80,51,1.54,light rain
165,Lagoa,PT,39.05,-27.9833,65.44,71,7,19.04,light rain
166,Hakkari,TR,37.5833,44.1667,67.78,19,75,11.5,broken clouds
167,Mikumi,TZ,-7.4041,36.9831,77.31,53,100,5.79,overcast clouds
168,Atraulia,IN,26.3333,82.95,84.54,48,2,5.77,clear sky
169,Tilichiki,RU,60.4667,166.1,21.56,84,100,6.06,overcast clouds
170,Mahebourg,MU,-20.4081,57.7,77.29,61,40,10.36,scattered clouds
171,Camocim,BR,-2.9022,-40.8411,77.7,78,26,15.79,scattered clouds
172,Bubaque,GW,11.2833,-15.8333,82.02,71,39,6.08,scattered clouds
173,Kodiak,US,57.79,-152.4072,47.71,66,75,10.36,broken clouds
174,Alora,ES,36.8236,-4.7058,65.91,67,100,1.88,overcast clouds
175,Jacareacanga,BR,-6.2222,-57.7528,71.17,98,99,1.45,overcast clouds
176,Kahului,US,20.8947,-156.47,80.62,74,20,4.0,few clouds
177,Naze,JP,28.3667,129.4833,76.12,62,12,23.51,few clouds
178,Naestved,DK,55.2299,11.7609,39.45,85,32,9.6,scattered clouds
